duration,src_bytes,dst_bytes,logged_in,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,class,anomaly_score,threat_type
0,0,0,0,137,17,1.0,1.0,0.0,0.0,0.12,0.05,255,7,0.03,0.07,0.0,0.0,1.0,1.0,0.0,0.0,anomaly,1.0,DoS Attack - TCP Connection Flood
0,0,0,0,267,9,1.0,1.0,0.0,0.0,0.03,0.05,255,9,0.04,0.05,0.0,0.0,1.0,1.0,0.0,0.0,anomaly,1.0,DoS Attack - TCP Connection Flood
0,0,0,0,4,4,1.0,1.0,0.0,0.0,1.0,0.0,255,65,0.25,0.02,0.0,0.0,1.0,1.0,0.0,0.0,anomaly,1.0,Suspicious Connection
0,0,0,0,292,20,1.0,1.0,0.0,0.0,0.07,0.06,255,19,0.07,0.05,0.0,0.0,1.0,1.0,0.0,0.0,anomaly,1.0,DoS Attack - TCP Connection Flood
0,0,0,0,104,10,1.0,1.0,0.0,0.0,0.1,0.06,255,16,0.06,0.07,0.0,0.0,1.0,1.0,0.0,0.0,anomaly,1.0,DoS Attack - TCP Connection Flood
0,0,0,0,281,11,1.0,1.0,0.0,0.0,0.04,0.06,255,4,0.02,0.08,0.0,0.0,1.0,1.0,0.0,0.0,anomaly,1.0,DoS Attack - TCP Connection Flood
0,0,0,0,220,11,1.0,1.0,0.0,0.0,0.05,0.05,24,11,0.46,0.12,0.04,0.0,0.92,1.0,0.0,0.0,anomaly,1.0,DoS Attack - TCP Connection Flood
0,0,0,0,146,16,1.0,1.0,0.0,0.0,0.11,0.05,255,16,0.06,0.05,0.0,0.0,1.0,1.0,0.0,0.0,anomaly,1.0,DoS Attack - TCP Connection Flood
0,0,0,0,232,3,1.0,1.0,0.0,0.0,0.01,0.06,255,3,0.01,0.07,0.0,0.0,1.0,1.0,0.0,0.0,anomaly,1.0,DoS Attack - TCP Connection Flood
0,0,0,0,134,17,1.0,1.0,0.0,0.0,0.13,0.05,255,17,0.07,0.07,0.0,0.0,1.0,1.0,0.0,0.0,anomaly,1.0,DoS Attack - TCP Connection Flood
